"date","state","positive"
"20200415","RJ",1005
"20200416","RJ",1023
"20200417","RJ",1131
"20200418","RJ",1229
"20200419","RJ",1351
"20200420","RJ",1478
"20200421","RJ",1576
"20200310","SK",0
"20200311","SK",0
"20200312","SK",0
"20200313","SK",0
"20200314","SK",0
"20200315","SK",0
"20200316","SK",0
"20200317","SK",0
"20200318","SK",0
"20200319","SK",0
"20200320","SK",0
"20200321","SK",0
"20200322","SK",0
"20200323","SK",0
"20200324","SK",0
"20200325","SK",0
"20200326","SK",0
"20200327","SK",0
"20200328","SK",0
"20200329","SK",0
"20200330","SK",0
"20200331","SK",0
"20200401","SK",0
"20200402","SK",0
"20200403","SK",0
"20200404","SK",0
"20200405","SK",0
"20200406","SK",0
"20200407","SK",0
"20200408","SK",0
"20200409","SK",0
"20200410","SK",0
"20200411","SK",0
"20200412","SK",0
"20200413","SK",0
"20200414","SK",0
"20200415","SK",0
"20200416","SK",0
"20200417","SK",0
"20200418","SK",0
"20200419","SK",0
"20200420","SK",0
"20200421","SK",0
"20200310","TN",1
"20200311","TN",1
"20200312","TN",1
"20200313","TN",1
"20200314","TN",1
"20200315","TN",1
"20200316","TN",1
"20200317","TN",1
"20200318","TN",1
"20200319","TN",2
"20200320","TN",3
"20200321","TN",3
"20200322","TN",7
"20200323","TN",9
"20200324","TN",15
"20200325","TN",18
"20200326","TN",26
"20200327","TN",29
"20200328","TN",40
"20200329","TN",49
"20200330","TN",67
"20200331","TN",74
"20200401","TN",234
"20200402","TN",234
"20200403","TN",309
"20200404","TN",411
"20200405","TN",485
"20200406","TN",571
"20200407","TN",621
"20200408","TN",690
"20200409","TN",738
"20200410","TN",834
"20200411","TN",911
"20200412","TN",969
"20200413","TN",1075
"20200414","TN",1173
"20200415","TN",1204
"20200416","TN",1242
"20200417","TN",1267
"20200418","TN",1323
"20200419","TN",1372
"20200420","TN",1477
"20200421","TN",1520
"20200310","TS",1
"20200311","TS",1
"20200312","TS",1
"20200313","TS",1
"20200314","TS",1
"20200315","TS",3
"20200316","TS",3
"20200317","TS",5
"20200318","TS",6
"20200319","TS",6
"20200320","TS",17
"20200321","TS",21
"20200322","TS",22
"20200323","TS",32
"20200324","TS",35
"20200325","TS",35
"20200326","TS",44
"20200327","TS",45
"20200328","TS",56
"20200329","TS",66
"20200330","TS",71
"20200331","TS",79
"20200401","TS",96
"20200402","TS",107
"20200403","TS",158
"20200404","TS",159
"20200405","TS",269
"20200406","TS",321
"20200407","TS",364
"20200408","TS",427
"20200409","TS",442
"20200410","TS",473
"20200411","TS",504
"20200412","TS",504
"20200413","TS",562
"20200414","TS",624
"20200415","TS",647
"20200416","TS",698
"20200417","TS",743
"20200418","TS",791
"20200419","TS",844
